nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,smoker,nationalité_francaise,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret,anciennete_jours,sit_fam_célibataire,sit_fam_divorcé,sit_fam_marié,sit_fam_veuf,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France
Brown,Michael,-1.1594876679267854,1.38878492836998,-0.6303435953761627,1,1,-1.402427618128122,0,0,-0.6344351308999701,1.3819925198840184,1.0,0.0,-1.6899263590121338,0,0,1,0,1,0,0,0,0,0,0,0
Harrison,Amy,-0.5059706773191129,1.2188875764079394,1.5076380585801488,0,1,0.7081788102778006,0,0,-0.34216429095696854,1.485407723439267,1.0,0.0,0.6066718471098814,0,1,0,0,0,0,1,0,0,0,0,0
Mueller,Meghan,-1.3377195744561505,0.2894491215567864,-1.829211812547926,0,0,0.004643334142492988,1,1,-0.9804768672123072,0.34784048433153075,0.11432336884634808,0.022018057700759958,0.8219236819996243,1,0,0,0,0,0,0,0,0,0,0,1
Conley,Jeffrey,-0.9218451258876318,-1.829270797028643,0.17556226172263387,0,1,-1.402427618128122,1,1,0.28660828755542345,1.347520785365602,1.0,0.0,1.0389114187836392,0,0,1,0,0,0,1,0,0,0,0,0
Diaz,John,-0.9812557613974202,-1.6693674069467217,-0.27068313022463375,0,1,0.7081788102778006,1,0,-0.6162224079361628,-0.7552550202577889,0.5190110867944494,0.0,-1.5753568339901738,0,0,0,1,0,0,1,0,0,0,0,0
Lee,Keith,-1.3377195744561505,0.11955176959474569,0.6817510645284891,1,1,0.7081788102778006,1,0,1.6048625211262315,-1.2033875689972002,1.0,0.1883734333693274,-1.0823606960168917,0,0,1,0,1,0,0,0,0,0,0,0
Martin,Melanie,-1.5753621164953042,-0.8798444184172486,-2.1622307617623044,0,1,0.7081788102778006,1,1,1.9587097101373432,-0.341594206036794,0.2899052932829898,0.7086938419012279,0.788941546008454,0,0,1,0,0,1,0,0,0,0,0,0
Contreras,Wesley,1.5139909300136927,0.14953365523510664,1.8006947338888013,1,0,1.411714286413108,1,1,-1.5563458218774495,1.0372751746998559,1.0,0.46064960407398325,-1.6326415965011538,0,0,0,1,0,0,0,0,0,0,0,1
Morales,Tina,-1.6347727520050925,-0.07033350612753095,0.6551095485913394,0,0,-1.402427618128122,1,0,-0.34303156347905456,0.10653834270261721,0.5190110867944494,0.0,-0.30988435306579815,1,0,0,0,0,0,0,0,0,0,0,1
Curtis,Devin,0.14754631328855947,-0.9997719609786867,0.1489207457854832,1,0,-0.6988921419928146,0,1,0.7826881701886486,0.34784048433153075,0.4533680286669392,0.3512456663398389,1.7141772556554942,0,0,1,0,0,0,0,0,1,0,0,0
Morgan,Lance,0.028725042268982655,1.8684950986157356,0.22884529359693428,0,0,-0.6988921419928146,1,1,1.1434735393764488,0.0031231391473683823,0.5190110867944494,0.0,0.04250373147144228,0,0,1,0,0,0,0,1,0,0,0,0
Lee,Travis,-1.0406663969072085,-0.2602187818498104,0.05567544000545774,1,1,-1.402427618128122,1,1,-1.6127185358130434,0.4857274224051959,0.9038022173588899,0.0,-1.4347487805541321,1,0,0,0,0,0,0,1,0,0,0,0
Mejia,Paul,1.0387058459353855,-0.04035162048717282,-0.623683216391875,0,0,0.7081788102778006,0,1,-0.38899700714961566,0.34784048433153075,1.0,0.40718894477845496,0.8479622104137061,0,0,0,1,0,0,0,0,0,0,0,1
White,Deborah,1.692222836543058,0.8391170249633833,-1.0566078503705674,1,1,-1.402427618128122,1,1,0.16865922455171958,1.3130490508471857,1.0,0.10682326831445882,-0.32550747011424724,0,0,1,0,1,0,0,0,0,0,0,0
Cox,Hunter,-0.44656004180932457,2.0084105649374155,0.8482605391356784,0,1,-0.6988921419928146,0,1,0.2285010285756576,1.1406903782551043,0.09359178470936244,0.3107758636776948,0.8826802482991485,0,0,0,1,0,0,0,0,0,1,0,0
Hall,Charles,0.8010633038962319,-0.7399289520955687,0.5019208319527244,0,0,-0.6988921419928146,1,1,-0.6344351308999701,0.20995354625786605,0.5190110867944494,0.2550735801482087,-1.3410100782634375,0,1,0,0,1,0,0,0,0,0,0,0
Hale,Christopher,-0.9218451258876318,1.1089539957266206,-0.04423024475885587,1,1,0.7081788102778006,1,1,0.06979015703390899,1.6577663960313482,0.5190110867944494,0.1436979221621943,-1.6743032419636847,0,1,0,0,0,0,0,1,0,0,0,0
Taylor,Stacy,-1.218898303436574,-1.0297538466190477,1.9605438295117035,1,0,1.411714286413108,1,0,0.4236373460450206,-1.5481049141813628,0.383051105072028,0.0,-1.1656839869419535,1,0,0,0,0,0,0,0,0,1,0,0
Martinez,David,-1.100077032416997,-0.979784037218448,1.4943173006115733,0,1,0.004643334142492988,1,0,-1.7514821393468127,-0.341594206036794,0.5190110867944494,0.0,-1.0337554429772724,1,0,0,0,0,0,0,0,0,0,1,0
Wagner,Daniel,-1.515951480985516,-0.160279163048611,0.06899619797403213,0,1,1.411714286413108,1,1,1.0194535687181423,-1.1344440999603675,0.5190110867944494,0.5658974662425834,0.2560196644669131,0,0,1,0,0,0,0,1,0,0,0,0
Spencer,Lisa,1.395169658994116,0.2894491215567864,0.05567544000545774,0,1,1.411714286413108,1,1,0.6803500125824937,-0.7552550202577889,0.5190110867944494,0.21221821612369154,-1.4590514070739418,0,0,1,0,0,0,0,1,0,0,0,0
Adams,Holly,-0.26832813527995936,1.5886641659723788,-0.816834206936215,1,1,0.004643334142492988,1,1,-1.4071749480786477,-1.5481049141813628,0.5190110867944494,0.28651535168863557,-1.679510947646501,1,0,0,0,1,0,0,0,0,0,0,0
Frank,Vanessa,0.9198845749158087,1.4687366234109378,-0.19741896139747084,0,1,0.7081788102778006,0,1,1.525073449094314,0.6925578295156931,1.0,0.7766697847473217,0.4365534614712136,1,0,0,0,0,0,0,0,0,0,0,1
Yoder,Kristine,-0.5653813128289014,1.148929843247101,1.4476946477215602,1,0,0.7081788102778006,0,1,0.47914278745852834,0.20995354625786605,0.44984314951540366,0.5342825203286494,0.4174585406342203,1,0,0,0,0,0,0,0,0,0,1,0
Estrada,Marcus,-0.7436132193582666,0.44935251163870493,0.3487321153141104,1,0,-1.402427618128122,1,1,0.01515198814248734,1.6232946615129318,1.0,0.0,-1.606603068087072,0,1,0,0,0,0,0,0,0,1,0,0
Coleman,Diana,-0.5653813128289014,-0.5900195238937697,0.26880756750265933,0,0,0.7081788102778006,0,0,1.7392897620495704,1.071746909218272,0.12933695678314616,0.2653804141396661,-1.4087102521400503,0,0,0,1,1,0,0,0,0,0,0,0
Robles,Robert,-0.9812557613974202,-0.689959142694969,0.9481662238999921,1,0,0.7081788102778006,0,0,-1.0620004842883966,0.07206660818420094,0.3775137683076405,0.0,1.512812635919928,0,0,0,1,0,1,0,0,0,0,0,0
Peterson,Catherine,1.692222836543058,0.689207596761584,-0.24404161428748308,0,1,1.411714286413108,1,0,-0.5728587818318599,-1.6515201177366114,0.09064524662706525,0.0,0.6066718471098814,1,0,0,0,0,0,0,0,0,1,0,0
Holland,Dorothy,-0.7436132193582666,1.1589238051272202,-0.21740009835033336,1,1,0.004643334142492988,1,1,-0.826969630803075,-0.7552550202577889,0.7213377263654073,0.03791506807576373,1.4780945980344857,1,0,0,0,0,0,0,1,0,0,0,0
Baker,Roy,0.5040101263472899,0.21949138839594512,1.4476946477215602,0,1,-0.6988921419928146,1,1,1.22239533888628,-0.341594206036794,0.5348933407084967,0.3684323803092908,-1.7038135741663107,0,0,1,0,0,0,0,0,0,0,1,0
Taylor,Michael,-0.8624344903778434,-2.6487756711984773,0.8016378862456652,1,1,-1.402427618128122,1,0,1.0844990078745969,-0.341594206036794,0.5424975830307112,0.0,-0.0842171068104225,0,1,0,0,0,1,0,0,0,0,0,0
Diaz,Andres,1.4545802945039044,0.5193102447995434,0.12227922984833348,1,1,-1.402427618128122,1,0,1.9318242619526753,-1.306802772552449,0.5190110867944494,0.0,1.1899348835853139,0,0,1,0,0,0,1,0,0,0,0,0
Fields,Sarah,-0.14950686426038257,-0.12030331552813066,-0.9300606496691035,1,0,0.7081788102778006,1,1,0.6022954855947485,1.106218643736688,0.4303259661864794,0.253760034730422,1.524963949179833,0,0,1,0,0,0,0,0,1,0,0,0
Moore,Joseph,1.395169658994116,-0.09032142988777253,0.36205287328268576,1,1,1.411714286413108,1,1,1.806069746250197,-0.4794811441104591,0.7199684471272938,0.7181787143640429,-1.505920758219289,0,1,0,0,0,0,0,0,0,0,1,0
Nelson,Thomas,0.8010633038962319,-0.41012821005160954,-0.16411706647603297,0,0,0.004643334142492988,0,0,0.5927554878518019,-1.306802772552449,0.12887520742646882,0.0,1.3062403105015459,0,0,0,1,0,0,0,0,0,1,0,0
Johnson,Scott,1.395169658994116,-0.4900799050925702,0.46861893703128654,1,0,1.411714286413108,0,1,1.1668898974727722,0.07206660818420094,0.14659676294461413,0.9344150831798602,-1.1361736547393275,1,0,0,0,1,0,0,0,0,0,0,0
Beck,Ronald,0.4445994908375015,1.0290023006856628,0.3553924942983986,1,1,-1.402427618128122,0,1,-0.5797969620085484,0.5891426259604448,0.07153074721627667,0.2608343100953344,-0.6709519470743992,0,0,1,0,0,0,0,0,1,0,0,0
Weber,Abigail,0.8604739394060203,-0.9298142278178483,0.8615812971042538,1,1,0.7081788102778006,0,1,-0.799216910096321,-0.37606594055521025,1.0,0.6162933153349999,-1.115342832008062,0,0,1,0,0,0,0,0,0,1,0,0
Herring,William,0.5634207618570782,0.7891472155627836,-0.5437586685804244,0,0,-1.402427618128122,0,1,-0.6500460362975191,1.1406903782551043,0.055868786224477524,0.09301535975935284,-0.0842171068104225,0,0,0,1,0,1,0,0,0,0,0,0
Perez,Jeffrey,-0.8030238548680549,-0.19026104868897195,1.2012606253029197,1,1,0.7081788102778006,0,1,-1.245862258970641,-0.031348595371047894,1.0,0.5177278831324639,0.40704312926858754,0,0,1,0,0,1,0,0,0,0,0,0
Watkins,Joshua,0.9792952104255971,1.3687970046097384,-0.9234002706848158,0,0,1.411714286413108,1,1,0.5268427761732615,-1.1344440999603675,0.5190110867944494,0.36331383125058403,-0.4557001121846563,0,0,1,0,0,0,0,1,0,0,0,0
Nichols,Elizabeth,-0.8030238548680549,2.318223383221133,-1.8358721915322136,1,1,-0.6988921419928146,1,1,0.4522573392738605,0.5546708914420284,0.09839397801880667,0.2704305237500592,0.9660035392242103,0,0,1,0,0,0,0,0,1,0,0,0
Barber,Jodi,-0.7436132193582666,-0.6999531045750884,0.7683359913242274,0,1,1.411714286413108,1,0,0.19207558264804314,0.34784048433153075,0.46176340155359413,0.0,0.10499619966523861,0,1,0,0,1,0,0,0,0,0,0,0
Garner,Samuel,0.028725042268982655,-0.2602187818498104,-0.7235889011561886,0,1,1.411714286413108,1,1,0.4678682446714096,0.6580860949972769,0.6514619658016882,0.7163478628264466,0.39489181600868273,0,0,0,1,0,1,0,0,0,0,0,0
Lopez,Kenneth,-1.218898303436574,1.4187668140103382,0.4819396949998619,0,1,-1.402427618128122,1,1,0.12442832592533064,0.03759487366578466,0.11002236598446408,0.0,-0.756011139893733,0,0,1,0,0,0,0,1,0,0,0,0
Rivera,Phillip,-0.030685593240805747,-0.20025501056909134,-0.24404161428748308,1,0,1.411714286413108,1,1,0.7297845463413991,0.5201991569236122,1.0,0.4159284569191638,1.3253352313385391,0,0,1,0,0,0,0,0,0,1,0,0
Gonzalez,Karen,-0.38714940629953615,-1.4594942074642034,0.8549209181199666,0,0,1.411714286413108,1,0,0.009081080487884934,0.6925578295156931,1.0,0.0,-0.913978212272496,0,1,0,0,0,0,0,0,1,0,0,0
Bird,Dustin,-0.20891749977017096,0.7291834442820644,0.8749020550728291,1,1,1.411714286413108,0,1,0.12182650835907247,0.10653834270261721,0.12716096293980425,0.9301471481425109,1.6152308476819832,0,0,0,1,0,0,0,0,0,1,0,0
Maldonado,Jacqueline,0.5040101263472899,-0.160279163048611,0.6617699275756266,1,1,1.411714286413108,0,1,-1.7514821393468127,1.6232946615129318,0.09182174550876603,0.733113944997593,1.2576350574619266,0,0,1,0,0,0,0,0,1,0,0,0
West,Yvonne,-1.694183387514881,-1.1396874273003665,0.49526045296843724,0,1,-1.402427618128122,1,1,-0.4306260882097464,1.347520785365602,0.13732906856496957,0.0,-0.20399433751519883,0,0,1,0,1,0,0,0,0,0,0,0
Wilson,Elizabeth,0.9198845749158087,0.13953969335498728,0.4752793160155747,1,0,0.004643334142492988,0,1,-1.4011040404240453,-0.7207832857393729,0.14051417714821673,0.15782828160495949,0.6969387456120316,0,0,1,0,0,0,1,0,0,0,0,0
Pugh,Stephanie,-0.09009622875059416,0.32942496907726676,-0.09751327663315722,1,0,1.411714286413108,0,0,-1.6925076078449608,0.03759487366578466,1.0,0.0,-0.5129848746956363,0,0,0,1,0,0,0,0,0,0,0,1
Martinez,Isaac,-1.0406663969072085,0.5193102447995434,-0.037569865774568674,0,0,-0.6988921419928146,1,1,0.9578772196500323,-0.9965571618867028,0.14129049325413048,0.0,-1.6031312642985278,0,0,0,1,0,0,0,0,0,0,1,0
Cox,Curtis,-0.9812557613974202,0.0595879983140266,-1.0499474713862802,0,1,0.7081788102778006,0,1,-0.20340068742319925,-1.47916144514453,0.5190110867944494,0.60565818725121,0.6222949641583304,0,0,1,0,0,0,0,0,0,1,0,0
Cooper,Timothy,1.6328122010332695,-1.0297538466190477,1.7141098070930632,1,0,0.7081788102778006,1,1,-0.604080592626958,-0.8241984892946215,0.5190110867944494,0.24027904228970828,-0.8740524687042373,0,0,0,1,0,0,0,0,0,0,0,1
Hunter,Anna,-0.26832813527995936,0.37939477847786646,0.11561885086404533,0,1,-1.402427618128122,0,1,-0.4158824553342834,-0.7207832857393729,1.0,0.3861383440022295,-0.04776316703070799,0,0,1,0,0,1,0,0,0,0,0,0
Jenkins,Richard,-1.397130209965939,0.769159291802542,-0.21073971936604521,1,0,-1.402427618128122,1,0,-1.2666767995007062,0.7615012985525257,0.0361790240734951,0.0,-0.11893514469586491,1,0,0,0,0,0,0,0,0,1,0,0
Nunez,Tonya,-0.3277387707897478,0.949050605644702,-0.29732464616178444,0,0,0.004643334142492988,0,1,-0.17217887662810116,0.10653834270261721,0.5190110867944494,0.38831964800610413,0.46779969556811174,0,0,1,0,0,1,0,0,0,0,0,0
Hayes,Diane,-0.9812557613974202,0.9090747581242217,0.12227922984833348,0,1,0.7081788102778006,1,1,2.568402293163842,-1.4446897106261138,0.5190110867944494,0.5523064677453894,-1.406974350245778,0,1,0,0,0,0,0,0,0,0,1,0
Pierce,Kathryn,-1.397130209965939,-0.7799047996160491,0.13559998781690788,1,1,-0.6988921419928146,1,0,0.9604790372162905,0.9338599711446071,0.370784156225199,0.0,-0.03040414808798678,0,0,0,1,1,0,0,0,0,0,0,0
Reed,David,1.6328122010332695,0.17951554087546762,-0.550419047564712,0,0,0.004643334142492988,0,1,-1.1305150135331952,1.0028034401814396,0.5190110867944494,0.2741610155813224,-1.3358023725806212,0,1,0,0,0,0,0,0,0,0,1,0
Stark,Joshua,-1.4565408454757274,1.998416603057296,-0.4105510888946729,1,1,-0.6988921419928146,1,1,-0.6838696646588753,-0.8586702238130378,0.5190110867944494,0.10237036385629522,0.5320280656561802,0,1,0,0,0,1,0,0,0,0,0,0
Conley,Julia,1.4545802945039044,-1.4095243980636039,-2.20219303566803,1,0,-1.402427618128122,0,0,1.9448333497839663,-1.617048383218195,0.1810317212188259,0.0,-0.3914717420965878,0,0,1,0,0,0,0,0,0,1,0,0
Clark,Melissa,-0.3277387707897478,0.5293042066796656,0.19554339867549642,0,1,0.004643334142492988,0,1,0.8329899764696399,1.2441055818103532,1.0,0.4258801290591051,1.6343257685189767,0,1,0,0,0,0,0,1,0,0,0,0
Poole,Jennifer,-1.694183387514881,-0.160279163048611,0.255486809534085,0,0,-1.402427618128122,0,0,1.685518865680235,-1.2033875689972002,0.5569593804862798,0.0,-0.11025563522450432,0,0,1,0,1,0,0,0,0,0,0,0
Gregory,Alexandria,-1.694183387514881,0.08956988395438756,-0.5570794265489992,0,0,1.411714286413108,0,1,-0.738507833550297,1.1406903782551043,0.1486323080253,0.6323286741242314,-0.28905353033453274,0,1,0,0,0,0,0,0,0,0,0,1
Smith,Rhonda,-0.6247919483386898,2.378187154501855,0.22218491461264708,1,0,-0.6988921419928146,1,1,-1.3403949638780213,-1.0999723654419515,0.10061037493085784,0.0,0.18658358869602826,0,0,1,0,0,1,0,0,0,0,0,0
Martinez,Anthony,-0.3277387707897478,-1.589415711905764,1.827336249825952,0,0,0.7081788102778006,1,1,-0.45664426387232815,-0.10029206440788045,0.2003740169789086,0.019863993382389762,-1.478146327910935,0,1,0,0,0,1,0,0,0,0,0,0
Barrett,Devin,0.7416526683864435,-1.3195787411425237,0.3487321153141104,1,0,-1.402427618128122,1,1,0.728050001297227,0.27889701529469824,0.4370153675957769,0.0,1.3183916237614508,1,0,0,0,0,0,0,0,1,0,0,0
Rogers,David,-1.694183387514881,-0.7099470664552078,0.601826516717038,0,1,0.004643334142492988,1,1,0.2978828303425422,-0.5484246131472915,0.14040066376470023,0.09207397491599947,1.7211208632325827,0,0,1,0,0,0,0,0,0,0,1,0
Ross,Mark,0.32577821981792465,-0.6399893332943694,-2.0490043190294163,1,0,-0.6988921419928146,1,1,-0.26237521892505117,0.31336874981311447,0.5190110867944494,0.03056635868100694,0.13797833565640888,0,0,0,1,0,0,0,0,0,0,1,0
Vargas,Gregory,-0.14950686426038257,-1.0397478084991671,0.9814681188214299,0,1,0.7081788102778006,1,1,0.9396644966862251,-0.5484246131472915,0.5270584161035089,0.44868253341554226,-0.47826683681019383,0,0,1,0,0,0,0,0,0,0,0,1
Krueger,Heather,1.0387058459353855,0.06958196019414598,0.09563771391118281,0,0,1.411714286413108,0,0,0.5008246005106798,1.1406903782551043,0.5190110867944494,0.0,-1.3080279422722674,0,0,1,0,0,0,1,0,0,0,0,0
Reid,James,-0.38714940629953615,-0.1003153917678919,-0.4371926048318231,1,0,0.004643334142492988,0,0,-0.32915520312567764,-1.4102179761076978,0.11479089006998389,0.0,1.670779708298691,1,0,0,0,0,0,0,0,1,0,0,0
